* Required Fields,* Trường bắt buộc
"Comment","Nội dung"
Contact Form,Form liên hệ
Contact Information,Thông tin liên hệ
Contact Us,Liên hệ với chúng tôi
Contacts,Liên hệ
Contacts Section,Section liên hệ
"Email","Email"
Email Options,Tùy chọn email
Email Sender,Người gửi email
"Email Template","Email Template"
Enable Contact Us,Bật tính năng liên hệ với chúng tôi
Name,Tên
Send Emails To,Gửi email đến
Submit,Gửi
"Telephone","Điện thoại"
"Unable to submit your request. Please, try again later",Không thể gửi yêu cầu của bạn. Vui lòng thử lại sau.
Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.,Yêu cầu của bạn đã được gửi. Chúng tôi sẽ trả lời bạn sớm nhất có thể. Rất cám ơn bạn đã liên hệ với chúng tôi.
"Today's Deal","Khuyến mãi hôm nay"
"Recent Deals","Những khuyến mãi trước"
"How it works","Hướng dẫn sử dụng"
"Business","Chúng tôi là ai"
"For Businesses","Dành cho doanh nghiệp"
"Contact us","Liên hệ"
"Contact Us","Liên hệ"
"TODAY'S DEAL","Khuyến mãi hôm nay"
"RECENT DEALS","Những khuyến mãi trước"
"HOW IT WORKS","Hướng dẫn sử dụng"
"BUSINESS","Dành cho doanh nghiệp"
"CONTACT US","Liên hệ"
"No Deal Available","Không có khuyến mãi nào"

"Refer a Friend: Get $"," Giới thiệu với bạn bè: Nhận $"
"Refer a Friend","Giới thiệu với bạn bè"
"Friend's Name","Tên người bạn"
"Friend's Email","E-mail người bạn"
"Message Subject","Tiêu đề thông điệp"
"Message Text","Nội dung thông điệp"
"Hi, I thought it might interest you.","Xin chào, tớ có một điều thú vị muốn giới thiệu cho cậu."
"My Account","Tài khoản của tôi"
"Account Login","Tên tài khoản"
"Account Password","Mật khẩu"
"My Dashboard","Bảng điều khiển"
"Ship To","Địa chỉ nhận"
"Address Book","Sổ danh bạ"
"Referred Friends","Bạn bè đã giới thiệu"

"Visit More Cities","Chọn thành phố khác"
"Daily Deals On the Best in",""
"Enter your email address here...","Nhập e-mail của bạn ..."
"Select your City","Chọn thành phố"
"Sign In","Đăng nhập"
"or","hoặc"
"Today's Deal: ",""
"Value","Giá trị"
"Discount","Giảm"
"Save value","Tiết kiệm"
"Buy it for a friend!","Mua tặng bạn bè"
"bought","người mua"
" more needed to get the deal"," người mua nữa để khuyến mãi có hiệu lực"
"Deal Achieved! Keep Buying!","Vẫn còn mua được!"
"Time Left To Buy","Thời gian còn lại"
"HOURS","GIỜ"
"MINUTES","PHÚT"
"SECONDS","GIÂY"
"Spread it!","Chia sẻ!"
"The Fine Print","Điều khoản sử dụng"
"Highlights","Điểm nổi bật"
"Deal Description","Mô tả chương trình"
"The Company","Bản đồ & Địa chỉ"
"Today’s Main Deal","Khuyến mãi đang diễn ra"
"Discuss the Deal","Thảo luận"
"Be the First to Comment","Viết bình luận đầu tiên"
"Comments","bình luận về khuyến mãi"
"Join the discussion","Tham gia thảo luận"
"Today's Side Deal","Khuyến mãi sắp hết hạn"
"Follow Us On",""
"Savings:","Tiết kiệm"
"Mandatory","Bắt buộc"
