"""%s""","""%s"""
"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s a bien été ajouté à votre liste d'envies. Cliquez <a href=""%2$s"">ici</a> pour poursuivre vos achats"
"%d product(s) have been added to shopping cart: %s.","%d produits ont été ajoutés à votre panier : %s."
"%s's Wishlist","Liste d'envies de %s"
"* Required Fields","* Champs obligatoires"
"Add All to Cart","Tout ajouter au panier"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste d'envies"
"Added On","Ajouté le"
"Are You sure?","Êtes-vous sûr ?"
"Are you sure you want to remove this product from your wishlist?","Êtes-vous sûr de vouloir enlever ce produit de votre liste d\'envies ?"
"Are you sure you would like to remove this item from the wishlist?","Êtes-vous sûr de vouloir enlever cet article de votre liste d\'envies ?"
"Back","Retour"
"Can\'t save description %s","Impossible d'enregistrer la description %s"
"Can\'t specify product","Impossible de spécifier le produit"
"Can\'t specify wishlist","Impossible de spécifier la liste d'envies"
"Cannot add item to shopping cart","Impossible d'ajouter l'article au panier"
"Cannot add to shopping cart","Impossible d'ajouter au panier"
"Cannot create wishlist","Impossible de créer la liste d'envies"
"Cannot specify product","Impossible de spécifier le produit"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Cochez cette case si vous souhaitez ajouter un lien vers un flux RSS vers votre liste d'envies"
"Comment","Commentaire"
"Comment:","Commentaire :"
"Customer My Account My Wishlist","Liste d\'envies du compte client"
"Customer My Account Wishlist Sharing Form","Formulaire de partage de liste d\'envies"
"Customer Shared Wishlist View","Vue de liste d\'envies partagée"
"Email Sender","Expéditeur du mail"
"Email Template","Gabarit du mail"
"Email address can\'t be empty.","L'email est obligatoire"
"Email addresses, separated by commas","Adresses email, séparées par des virgules"
"Enabled","Activé"
"General Options","Options générales"
"Go to Wishlist","Aller à la liste d'envies"
"Last Added Items","Derniers articles ajoutés"
"Message","Message"
"My Wishlist","Ma liste d'envies"
"My Wishlist (%d item)","Ma liste d'envies (%d article)"
"My Wishlist (%d items)","Ma liste d'envies (%d articles)"
"My Wishlist (%d)","Ma liste d'envies (%d)"
"Out of stock","Épuisé"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Saisissez une liste d\'adresses email valides, séparées par des virgules. Par exemple, jeandupond@domaine.com, martindupond@domaine.com"
"Please input a valid email address.","Saisissez un email valide."
"Please, enter your comments...","Saisissez vos commentaires..."
"Product","Produit"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Les produits %s ont des options obligatoires. Il ne peuvent être ajoutés au panier que séparément."
"RSS Feed","Flux RSS"
"RSS link to %s's wishlist","Flux RSS de la liste d'envies de %s"
"Remove Item","Supprimer l'article"
"Remove This Item","Supprimer le filtre"
"Remove item","Retirer l'article"
"Share Wishlist","Partager la liste d'envies"
"Share Your Wishlist","Partagez votre liste d'envies"
"Share options","Options de partage"
"Sharing Information","Information de partage"
"There was an error while adding item to wishlist.","Erreur lors de l'ajout d'un article dans la liste d'envies."
"There was an error while adding item to wishlist: %s","Erreur lors de l'ajout d'un article dans la liste d'envies : %s"
"There was an error while deleting item from wishlist.","Erreur lors de la suppression d'un article de la liste d'envies."
"There was an error while deleting item from wishlist: %s","Erreur lors de la suppression d'un article de la liste d'envies : %s"
"This product(s) is currently out of stock","Ce produit est momentanément épuisé"
"Unable to add the following product(s) to shopping cart: %s.","Impossible d'ajouter au panier les produits suivants : %s."
"Update Wishlist","Mettre à jour"
"View Product","Voir produit"
"Wishlist","Liste d'envies"
"Wishlist Section","Section liste d'envies"
"Wishlist Sharing","Partage de liste d'envies"
"Wishlist is empty now.","La liste d'envies est vide maintenant."
"You have no items in your wishlist.","Vous n'avez pas d'article dans votre liste d'envies."
"Your Wishlist was successfully shared","Votre liste d'envies a été partagée"
